,년도 및 분기,회사명,지원 직종,지원 유형,학력,과,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험
0,2016년 하반기,(사)대한산업안전협회,컨설턴트,신입,지방4년,기계설계,3.83,875.0,,IH,,4.0,,,
1,2023년 상반기,(사)전국경제인연합회,경영·비즈니스기획,신입,서울4년,영어영문학,3.92,965.0,,IH,,1.0,,1.0,1.0
2,2015년 상반기,(사)한국지방재정공제회,경영·비즈니스기획,신입,서울4년,언론홍보학과,3.3,,Level6,,,2.0,,,
3,2021년 하반기,(재)경기문화재단,경영·비즈니스기획,신입,서울4년,역사콘텐츠학과,3.92,810.0,,,,2.0,,,
4,2020년 하반기,(재)경남창조경제혁신센터,경영·비즈니스기획,신입,대학원,국제의료경영학과,2.71,715.0,,IM1,,2.0,3.0,2.0,1.0
5,2015년 상반기,(재)동그라미재단,경영·비즈니스기획,인턴,서울4년,국어국문학,4.0,,,,,1.0,,3.0,
6,2020년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,대학원,국제의료경영학과,2.71,715.0,,IM1,,2.0,3.0,2.0,1.0
7,2018년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,대졸4년,무역학과,3.69,930.0,Level7,IM2,1.0,4.0,1.0,,1.0
8,2016년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,서울4년,철학과/중어과,4.1,920.0,Level6,,,1.0,1.0,2.0,
9,2016년 하반기,(재)서울경제진흥원,사무담당자,신입,지방4년,무역학과,4.1,770.0,Level6,,,1.0,,1.0,
10,2019년 상반기,(재)서울관광재단,사무보조,인턴,초대졸,관광영어과(3년제),3.05,655.0,,,1.0,2.0,,,1.0
11,2020년 하반기,(재)서울디자인재단,사무담당자,신입,서울4년,경영학과,3.19,,,,,3.0,,,
12,2016년 하반기,(재)서울디자인재단,건축기사,인턴,대졸4년,건축설계전공,3.35,805.0,,,2.0,,2.0,1.0,1.0
13,2016년 하반기,(재)서울디자인재단,경영·비즈니스기획,신입,서울4년,동화미디어콘텐츠,4.13,895.0,Level6,,1.0,4.0,,1.0,1.0
14,2019년 상반기,(재)에너지경제연구원,사무담당자,신입,지방4년,경영학과,3.7,825.0,,,,1.0,,,
15,2021년 하반기,(재)한국과학창의재단,앱개발자,인턴,대졸4년,인문학부,3.5,910.0,,,1.0,1.0,,,
16,2015년 상반기,(재)한국문학번역원,웹퍼블리셔,신입,서울4년,경영학과,3.7,,,,,3.0,,,
17,2021년 상반기,(재)한국에너지기술연구원,R&D·연구원,인턴,대졸4년,신소재공학과,3.9,850.0,,IM2,,3.0,,,
18,2017년 상반기,(재)한국에너지기술연구원,앱개발자,신입,대학원,전자컴퓨터통신공,3.81,865.0,Level5,IM2,1.0,1.0,,,
19,2023년 상반기,(재)한국에너지정보문화재단,사무담당자,신입,수도권4년,경제학과,4.13,455.0,,,,4.0,,,
20,2023년 상반기,(재)한국연구재단,R&D·연구원,인턴,서울4년,건축사회환경공학부,3.36,870.0,,IM1,,3.0,3.0,,
21,2020년 상반기,(재)한국연구재단,사무담당자,신입,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
22,2019년 상반기,(재)한국연구재단,경영·비즈니스기획,신입,지방4년,화학생명공학과,3.0,745.0,,,,1.0,,,
23,2016년 상반기,(재)한국연구재단,경영·비즈니스기획,신입,고졸,,,,,,,,,,
24,2018년 하반기,(재)한국우편사업진흥원,사무담당자,신입,대졸4년,무역학과,3.69,910.0,Level6,IM2,1.0,3.0,1.0,,1.0
25,2023년 상반기,(재)한국원자력연구원,R&D·연구원,신입,대졸4년,신소재공학과,3.9,850.0,,IM2,1.0,3.0,,,
26,2018년 하반기,(재)한국원자력연구원,화학엔지니어,신입,대학원,반도체&디스플레이과학경영학과,3.95,760.0,,,1.0,2.0,,,1.0
27,2016년 하반기,(재)한국원자력연구원,화학엔지니어,인턴,대학원,화학공학,3.5,800.0,Level6,,,,,,
28,2020년 상반기,(재)한국장애인개발원,사무담당자,인턴,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
29,2019년 상반기,(재)한국장애인개발원,사회복지사,신입,지방4년,사회복지학과,3.46,,,,,,,4.0,
30,2023년 상반기,(재)한국장학재단,경영지원,신입,서울4년,경영학과,3.6,855.0,Level5,,,2.0,,,
31,2020년 상반기,(재)한국장학재단,사무담당자,신입,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
32,2018년 상반기,(재)한국장학재단,사무담당자,인턴,지방4년,경영관리전공,2.82,775.0,,IH,,3.0,1.0,2.0,
33,2016년 하반기,(재)한국장학재단,사무담당자,인턴,지방4년,국제통상학부,4.2,965.0,,,2.0,1.0,,1.0,1.0
34,2016년 상반기,(재)한국장학재단,사무담당자,신입,지방4년,경제통상학부,3.9,930.0,Level7,,1.0,3.0,,1.0,1.0
35,2016년 상반기,(재)한국장학재단,시스템엔지니어,인턴,서울4년,컴퓨터학부,3.4,845.0,Level6,,1.0,5.0,3.0,1.0,1.0
36,2023년 상반기,(재)한국표준과학연구원,R&D·연구원,인턴,지방4년,환경공학과,3.85,785.0,,,,4.0,,,
37,2020년 상반기,(재)한국표준과학연구원,사무담당자,신입,수도권4년,경영학과 마케팅경영전공,3.57,,Level6,,1.0,3.0,1.0,1.0,
38,2016년 상반기,(주)CJ텔레닉스,인바운드상담원,신입,고졸,,,,,,,,,,
39,2022년 하반기,(주)DB하이텍,생산·공정관리자,인턴,서울4년,전자정보통신공학과,4.07,,IH,,,4.0,1.0,1.0,
40,2017년 하반기,(주)DB하이텍,반도체엔지니어,신입,대학원,신소재 공학,3.67,,,IM2,,,,,
41,2017년 하반기,(주)DB하이텍,반도체엔지니어,신입,서울4년,화학공학,4.2,,,IH,,2.0,,,
42,2016년 상반기,(주)DB하이텍,재무담당자,신입,서울4년,국어국문학,3.67,925.0,,,1.0,,1.0,,
43,2016년 하반기,(주)DB하이텍,품질관리자,신입,서울4년,전기공학부,3.24,710.0,,,,3.0,,,
44,2015년 상반기,(주)DB하이텍,품질관리자,신입,서울4년,전자공학과,3.1,960.0,Level6,,,,,,
45,2017년 하반기,(주)GS넷비전,회계담당자,인턴,수도권4년,회계학,4.17,815.0,,,1.0,4.0,,,
46,2014년 상반기,(주)GS엔텍,품질관리자,신입,지방4년,공업화학과,3.3,700.0,,IL,,1.0,,1.0,
47,2021년 하반기,(주)IBK시스템,웹개발자,신입,지방4년,산업공학과,3.9,,,,1.0,2.0,,,
48,2017년 상반기,(주)IBK시스템,앱개발자,신입,서울4년,정보통신전자공학부,3.85,770.0,Level5,,,5.0,2.0,,
49,2015년 하반기,(주)IBK시스템,앱개발자,신입,수도권4년,컴퓨터공학,3.82,735.0,,,1.0,2.0,2.0,,
50,2015년 하반기,(주)IBK시스템,기술·전문강사,신입,수도권4년,컴퓨터공학과,3.7,735.0,,IH,1.0,4.0,,1.0,1.0
51,2015년 하반기,(주)IBK시스템,시스템엔지니어,신입,수도권4년,컴퓨터공학,4.1,630.0,,,,3.0,1.0,3.0,
52,2016년 상반기,(주)IBK시스템,앱개발자,신입,지방4년,멀티미디어학과,4.0,,,,,1.0,1.0,1.0,
53,2023년 상반기,(주)JYP엔터테인먼트,인사담당자,신입,서울4년,경영학과,3.5,,IH,,1.0,4.0,,2.0,
54,2021년 상반기,(주)JYP엔터테인먼트,재무담당자,신입,서울4년,회계학과,3.2,900.0,,,1.0,4.0,,1.0,
55,2020년 상반기,(주)JYP엔터테인먼트,MD,신입,서울4년,의상학과,3.4,930.0,,AL,1.0,1.0,1.0,1.0,
56,2018년 상반기,(주)JYP엔터테인먼트,사무담당자,신입,서울4년,법,3.59,895.0,,,1.0,1.0,,,
57,2020년 하반기,(주)KB국민카드,온라인마케터,신입,서울4년,경영학부,3.5,,Level6,,,14.0,11.0,1.0,1.0
58,2019년 하반기,(주)KB국민카드,시스템엔지니어,신입,서울4년,컴퓨터공학부 컴퓨터공학전공,3.07,,,,1.0,,,,1.0
59,2017년 상반기,(주)KB국민카드,인바운드상담원,신입,지방4년,컴퓨터공학,2.5,,,,,1.0,,1.0,
60,2015년 하반기,(주)KB국민카드,금융영업,신입,서울4년,경영학과,3.8,905.0,,,,5.0,,3.0,2.0
61,2019년 하반기,(주)KB손해사정,심사,신입,수도권4년,의료경영학과,3.32,840.0,,,,3.0,,,
62,2019년 상반기,(주)KB손해사정,사무담당자,신입,지방4년,경영학과,3.7,825.0,,,,1.0,,,
63,2016년 하반기,(주)KB손해사정,심사,신입,대학원,금융보험학과,3.55,,,,,1.0,,,
64,2015년 하반기,(주)KB손해사정,심사,신입,지방4년,식품생명공학과,3.7,,,,,2.0,,,
65,2015년 하반기,(주)KB손해사정,금융영업,신입,지방4년,경영학부,3.9,870.0,,,,5.0,,,1.0
66,2016년 상반기,(주)LG생명과학,제품영업,인턴,대졸4년,행정학부,3.9,960.0,,,2.0,,,1.0,2.0
67,2014년 하반기,(주)LG생명과학,영업지원,인턴,지방4년,화학공학과,3.5,720.0,Level5,,,1.0,,,
