condition,value_count,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험
2022년 하반기,208,3.79,788.2,IM2,IM1,1.55,2.73,1.41,1.3,1.15
삼성전자㈜,193,3.78,849.14,IM1,IM1,1.29,2.12,2.38,1.49,1.25
지방4년,1303,3.72,823.61,IM1,IM1,1.18,2.62,1.56,1.34,1.14
경영학과,316,3.8,888.45,IM2,IM2,1.43,2.67,1.7,1.39,1.35
품질관리자,504,3.65,840.4,IM1,IM1,1.21,2.18,1.57,1.32,1.18
2016년 상반기 & GS리테일,27,3.66,856.67,IM1,IM2,1.15,2.53,2.0,1.29,1.0
2017년 하반기 & 서울4년,187,3.6,831.22,IM1,IM2,1.37,2.1,1.38,1.87,1.35
2018년 상반기 & 경영학과,46,3.99,906.0,IM2,,2.07,1.52,2.0,1.0,1.0
2015년 하반기 & 앱개발자,96,3.64,809.19,NH,IM1,1.0,1.91,1.88,1.13,1.06
삼성전자㈜ & 서울4년,69,3.7,871.9,IM2,IM2,1.38,2.1,2.12,1.89,1.2
삼성전자㈜ & 전자공학과,13,3.8,840.0,NH,NH,1.0,1.6,2.33,1.25,1.0
CJ대한통운(주) & 자재관리자,25,3.71,840.26,IM2,IM2,1.33,2.07,1.67,1.29,1.11
서울4년 & 경영학과,179,3.76,912.81,IM1,IM2,1.54,2.25,1.85,1.56,1.43
지방4년 & 품질관리자,171,3.74,832.38,IM1,IL,1.17,2.35,1.33,1.36,1.16
컴퓨터공학 & 앱개발자,47,3.66,784.56,NH,IM1,1.0,2.05,2.05,1.0,1.0
2015년 하반기 & 삼성전자㈜ & 지방4년,12,3.85,821.67,IM1,IL,1.5,2.0,1.33,1.5,1.0
2015년 하반기 & SK C&C & 컴퓨터공학과,5,3.36,762.5,NH,IM2,1.0,2.75,2.0,1.5,1.0
2018년 상반기 & 삼성전자㈜ & 반도체엔지니어,14,3.62,851.11,IM1,IM2,1.0,2.14,2.0,2.33,1.0
2023년 상반기 & 서울4년 & 경영학과,25,3.59,860.88,NH,IM2,1.0,2.67,,2.0,
2016년 하반기 & 서울4년 & 영업지원,38,3.71,913.75,IM1,IM2,1.2,1.89,1.29,2.18,1.3
2020년 상반기 & 행정학과 & 사무담당자,20,4.0,790.0,NH,,,2.0,,,
GS리테일 & 지방4년 & 경영학부,6,3.9,855.0,IM1,,1.0,3.0,1.0,1.0,1.0
GS리테일 & 서울4년 & 영업지원,28,3.66,906.0,IM1,IM2,1.0,2.38,1.8,1.12,1.33
롯데IT테크(주) & 컴퓨터학부 & 앱개발자,5,3.83,760.0,NH,IL,1.0,1.0,,1.0,
지방4년 & 전자공학 & 전기·전자엔지니어,31,3.58,822.83,IM1,IL,1.0,3.86,1.0,1.0,2.0
2016년 하반기 & 삼성전자㈜ & 지방4년 & 기계설계공학과,3,3.8,808.33,IM1,IL,1.0,1.0,3.0,,
2018년 상반기 & 삼성전자㈜ & 수도권4년 & 반도체엔지니어,6,3.6,881.25,IM1,IM2,1.0,2.0,1.0,,1.0
2017년 하반기 & 한국동서발전(주) & 전자공학 & 전기·전자엔지니어,4,3.56,786.67,,,,5.0,,,
2022년 하반기 & 수도권4년 & 경제학과 & 회계담당자,16,4.13,455.0,,,,4.0,,,
한국전력공사 & 지방4년 & 전자공학 & 전기·전자엔지니어,5,3.55,838.0,,,,5.0,,,
2017년 하반기 & 한국동서발전(주) & 지방4년 & 전자공학 & 전기·전자엔지니어,3,3.65,786.67,,,,5.0,,,
