Combination: ('년도 및 분기',)
년도 및 분기,count
2015년 하반기,775
2016년 하반기,723
2016년 상반기,677
2017년 하반기,439
2017년 상반기,373
2015년 상반기,343
2018년 하반기,332
2018년 상반기,309
2019년 하반기,262
2019년 상반기,245
2022년 상반기,227
2021년 하반기,217
2022년 하반기,208
2021년 상반기,177
2023년 상반기,175
2020년 상반기,174
2020년 하반기,145
2014년 하반기,55
2023년 하반기,44
2014년 상반기,21
2013년 하반기,18
2013년 상반기,9

Combination: ('회사명',)
회사명,count
삼성전자㈜,193
GS리테일,127
SK하이닉스(주),74
엘지전자㈜,73
CJ제일제당(주),66
현대자동차㈜,66
㈜KT,61
한국전력공사,53
한국철도공사,47
현대모비스㈜,46
NH농협은행,41
㈜BGF리테일,39
한국가스공사,37
대한항공,37
씨제이올리브네트웍스㈜,36
(주)LG화학,34
엘지디스플레이,34
한국중부발전(주),33
CJ대한통운(주),33
SK텔레콤,32
한샘,32
롯데IT테크(주),31
한국동서발전(주),31
포스코홀딩스,31
한국수자원공사,30
중소기업은행,30
현대제철주식회사,29
국민건강보험공단,29
한국토지주택공사,28
현대오토에버㈜,28
현대글로비스(주),28
㈜효성,27
현대트랜시스,26
기아㈜,26
㈜우리은행,26
㈜CJ ENM,25
엔에이치엔(주),24
한국서부발전(주),24
한국지역난방공사,24
근로복지공단,23
한국산업인력공단,22
신한은행,21
현대오일뱅크(주),21
(주)한진,21
㈜국민은행,20
현대카드,20
SK C&C,20
한전KPS(주),20
삼성화재해상보험,20
한국타이어앤테크놀로지(주),20
쿠팡(주),19
(주)아모레퍼시픽,19
CJ 프레시웨이,19
현대위아(주),18
(주)동원F&B,17
한화S&C㈜,17
넷마블(주),17
코리아세븐,17
SK이노베이션(주),16
서울교통공사,16
한국수력원자력(주),16
롯데칠성음료(주),16
에프알엘코리아,15
한국남부발전(주),15
새마을금고중앙회,15
한화생명보험㈜,15
에이치디한국조선해양㈜,15
네이버,15
CJ E&M㈜,15
(주)오뚜기,15
(주)서브원,15
(주)LG생활건강,14
롯데케미칼(주),14
KCC,14
한국자산관리공사,14
한국남동발전(주),14
서울시설공단,14
대림산업㈜,14
세메스(주),13
인천국제공항공사,13
㈜셀트리온,13
LG CNS,13
한미약품(주),13
한국산업기술진흥원,13
(주)대웅제약,13
GS칼텍스(주),13
삼성바이오로직스(주),13
(주)엔씨소프트,13
한국도로공사,13
건강보험심사평가원,13
서울주택도시공사,13
현대엔지니어링(주),12
에이치케이이노엔(주),12
국민연금공단,12
LG 이노텍,12
금호타이어(주),12
두산에너빌리티(주),12
라인플러스(주),12
삼성SDI(주),12
한세실업㈜,11
한화시스템(주),11
(주)해커스어학원,11
삼성디스플레이(주),11
㈜마이다스아이티,11
(주)퍼시스,11
한국주택금융공사,11
㈜티맥스소프트,11
한국투자증권(주),11
㈜인바디,11
교보생명,10
한국콜마홀딩스(주),10
한국가스안전공사,10
㈜다우기술,10
(주)이랜드리테일,10
㈜동원홈푸드,10
현대건설(주),10
롯데슈퍼,10
해태제과식품(주),10
(주)삼양홀딩스,10
롯데건설(주),10
샘표식품㈜,10
아시아나항공(주),10
현대백화점,10
도로교통공단,10
㈜현대그린푸드,10
빙그레,10
주식회사 경신,9
㈜대우건설,9
㈜엘지헬로비전,9
